path,pid,channel,iosUrl,adrUrl,dltmpl,name
jjkk037.html,A,jjkk037,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk037.apk,default,
jjkk038.html,A,jjkk038,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk038.apk,default,
jjkk039.html,A,jjkk039,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk039.apk,default,
jjkk040.html,A,jjkk040,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk040.apk,default,
gui001.html,A,gui001,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui001.apk,default,
gui002.html,A,gui002,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui002.apk,default,
gui003.html,A,gui003,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui003.apk,default,
gui004.html,A,gui004,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui004.apk,default,
gui005.html,A,gui005,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui005.apk,default,
gui006.html,A,gui006,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui006.apk,default,
gui007.html,A,gui007,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui007.apk,default,
gui008.html,A,gui008,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui008.apk,default,
gui009.html,A,gui009,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui009.apk,default,
gui010.html,A,gui010,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui010.apk,default,
gui011.html,A,gui011,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui11.apk,default,
